"ConstituencyCode","Constituency","CandidateCode","Candidate","Votes","Uncontested","elected","VotesN","Year"
"S22","GREENFIELD","2","POON SIU PING NANCY","578",FALSE,FALSE,578,2015
"S23","CHEUNG CHING","1","LEE CHI KEUNG ALAN","3,223*",FALSE,TRUE,3223,2015
"S23","CHEUNG CHING","2","WONG KWONG MO","1,273",FALSE,FALSE,1273,2015
"S24","CHEUNG HONG","*","TSUI HIU KIT","Uncontested",TRUE,TRUE,0,2015
"S25","SHING HONG","1","FU MOON FONG FERDINAND","990",FALSE,FALSE,990,2015
"S25","SHING HONG","2","LEUNG WAI MAN","2,345*",FALSE,TRUE,2345,2015
"S26","TSING YI SOUTH","1","IP YAM SHEK JOHNATHAN","1,654",FALSE,FALSE,1654,2015
"S26","TSING YI SOUTH","2","POON CHI SHING","3,214*",FALSE,TRUE,3214,2015
"S27","CHEUNG HANG","1","LUI KO WAI","165",FALSE,FALSE,165,2015
"S27","CHEUNG HANG","2","LAM LAP CHI","1,838",FALSE,FALSE,1838,2015
"S27","CHEUNG HANG","3","LO YUEN TING","2,814*",FALSE,TRUE,2814,2015
"S27","CHEUNG HANG","4","HA LUNG WAN","168",FALSE,FALSE,168,2015
"S28","CHING FAT","1","WONG KIN LONG","233",FALSE,FALSE,233,2015
